Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,Customer Phone
22149004,Taste And Toast,Raiganj Locality,Raiganj,7721002213,"01:42 PM, January 25 2026",Delivered,Zomato Delivery,<1km,1 x Chicken Khichuri,,,275,0,40.2,0,0,0,234.8,,,,,,15.73,2.9,Correctly,,de0c3b9f74ba12921e639afbfff741274a43534a6f4749ccf748fd0b45837011,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7740957576,"01:16 PM, January 30 2026",Delivered,Zomato Delivery,1km,1 x Chicken Handi Biryani [2 Pieces],,,270,0,0,135,0,0,135,5.0,,,,,27.35,20.2,Correctly,,365e4e407eefb21d2883ea6f7b2a03550d9befee22c5e3bbc1014fbafbb515d0,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7718889631,"06:03 PM, January 26 2026",Delivered,Zomato Delivery,6km,1 x Chicken Leg Kabab,,,200,0,56,0,0,0,144,5.0,,,,,30.12,8.0,Correctly,,84c8b04e61f9e5fce2a95c7fc73fc76f708206411768d78de1777ce447da1d92,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7734936013,"09:31 PM, January 28 2026",Delivered,Zomato Delivery,8km,1 x Chicken Handi Biryani [2 Pieces],,,270,0,0,135,0,0,135,,,,,,9.98,1.7,Correctly,,228528e70df31bb6f65d33e8463d747db36ac09db8242b7712c038a2fda5ab43,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7727710538,"08:59 PM, January 25 2026",Delivered,Zomato Delivery,6km,1 x Chicken Handi Biryani [2 Pieces],,,270,0,0,135,0,0,135,2.0,,,,,14.72,7.4,Correctly,,046a0a3072aed8e49545c7e830455580048f2e88c1472a6300cd3fe011b396a8,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7721944184,"10:12 PM, January 23 2026",Delivered,Zomato Delivery,6km,1 x Mutton Handi Biryani [2 Pieces],,,350,0,0,175,0,0,175,5.0,,,,,10.32,5.5,Correctly,,7ebc6ab9f4fe10cac35c2a047fab21d94dbb42c4a9c3aa57261bcb13c13df657,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7715408092,"07:56 PM, January 23 2026",Delivered,Zomato Delivery,6km,1 x Chicken Handi Biryani [2 Pieces],,,270,0,0,135,0,0,135,,,,,,6.60,0.6,Correctly,,e2e6a8842af8d1299cbf8f587ffbff415618890cd5642854600baf6b797e9c5b,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7730181517,"01:21 PM, January 27 2026",Delivered,Zomato Delivery,<1km,2 x Chicken Handi Biryani [2 Pieces],,,540,0,0,270,0,0,270,5.0,good ,,,,23.20,12.2,Correctly,,8e65ec6b2f50d40ac6c1b95797bb62eb735fb01fb7cd23b6e00c790b69013783,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7692843193,"04:43 PM, January 23 2026",Delivered,Zomato Delivery,3km,1 x Chicken Handi Biryani [2 Pieces],Order: please give me leg piece,,270,0,0,135,0,0,135,,,,,,21.50,14.9,Correctly,,206964bb39458adff2b3535484e6a0e31372718e372b9f901e5eedfc3ad5d454,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7707272707,"10:28 PM, January 20 2026",Delivered,Zomato Delivery,<1km,"2 x Chicken Handi Biryani [2 Pieces], 1 x Chicken 65 [10 Pieces]",,,803,0,0,270,0,0,533,,,,,,10.68,0.7,Correctly,,1523f23de603208c06149ddb0b7de49168f31991440343e55dacece7626ece76,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7711171749,"09:23 PM, January 21 2026",Delivered,Zomato Delivery,<1km,1 x Chicken Handi Biryani [2 Pieces],,,270,0,0,135,0,0,135,,,,,,28.05,19.0,Correctly,,8fb3decf802c56d6ab169e7c75956124b2824abfac4fdb87eb1e30868b87978f,
