Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID,Customer Phone
22149004,Taste And Toast,Raiganj Locality,Raiganj,7521729685,"01:49 PM, November 27 2025",Delivered,Zomato Delivery,1km,1 x Mutton Handi Biryani [2 Pieces],,,338,0,0,169,0,0,169,,,,,,16.65,7.4,Correctly,,96b2f9b54286c2634498ff68b138028df76e9bd7535070f2f2786dd72812155a,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7546638443,"09:06 PM, December 07 2025",Delivered,Zomato Delivery,<1km,1 x Chicken Seekh Kabab [6 Pieces],,Flat Rs.100 off,294,0,0,0,0,0,294,,,,,,29.15,25.9,Correctly,,9672b682cab523a92397b2a1ae6ee58fa9cac1f786727bcc51632a7cf60745fd,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7529562531,"06:27 PM, November 29 2025",Delivered,Zomato Delivery,1km,1 x Mutton Handi Biryani [2 Pieces],,,338,0,0,169,0,0,169,,,,,,17.70,15.2,Correctly,,8681c188b3f818039fac9fd47e34bb2797f8967b923740b05523e95e5bd1d40b,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7533929529,"09:24 PM, December 01 2025",Delivered,Zomato Delivery,3km,1 x Chicken Leg Kabab,,Flat Rs.140 off,200,0,0,0,0,0,200,1.0,,,,,31.07,14.6,Correctly,,b4994e74b7d341347476833f8861fe3479feddc90454b5eb1f039b3a932f2d86,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7522569271,"01:36 PM, November 28 2025",Delivered,Zomato Delivery,3km,1 x Chicken Handi Biryani [2 Pieces],,,263,0,0,131.5,0,0,131.5,,,,,,12.88,5.2,Correctly,,3031742f5fd0198345f2be6a43d2eabf53251a1c202f86b531e41ebb19530453,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7545397156,"08:44 PM, December 05 2025",Delivered,Zomato Delivery,1km,"1 x Chicken Handi Biryani [2 Pieces], 1 x Mutton Handi Biryani [2 Pieces]",,,601,0,0,300.5,0,0,300.5,,,,,,9.70,0.6,Correctly,,c4366f2a8c7882c9fdd4d29fee8c6e12caab41903d9181f29b0c61e53e2965f8,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7522510328,"06:59 PM, November 27 2025",Delivered,Zomato Delivery,4km,1 x Chicken Handi Biryani [2 Pieces],,,263,0,0,131.5,0,0,131.5,,,,,,8.55,3.6,Correctly,,2449830b04a9b6531a2fce8099c81df948e2dc732520afb52624e6f46bf52c80,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7531226232,"09:44 PM, December 01 2025",Delivered,Zomato Delivery,3km,1 x Chilli Chicken,,Flat Rs.140 off,200,0,0,0,0,0,200,5.0,,,,,6.53,0.7,Correctly,,b4994e74b7d341347476833f8861fe3479feddc90454b5eb1f039b3a932f2d86,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7541238438,"03:25 PM, December 04 2025",Delivered,Zomato Delivery,3km,2 x Chicken Handi Biryani [2 Pieces],,,526,0,0,263,0,0,263,,,,,,12.50,2.7,Correctly,,ee6cebc9a97eff228b158ed30acf323fed2bb20843199b9a3d2ace72e7f54c85,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7534759294,"10:03 PM, December 01 2025",Delivered,Zomato Delivery,3km,1 x Chicken Handi Biryani [2 Pieces],Item: don't add potato,,263,0,0,131.5,0,0,131.5,,,,,,11.30,8.4,Correctly,,41c21dd8eedf966d135b4d0f490cb5728e363ce1633f65fe2de603bff6d02d57,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7524955092,"06:06 PM, December 05 2025",Delivered,Zomato Delivery,3km,1 x Chicken Handi Biryani [2 Pieces],,,263,0,0,131.5,0,0,131.5,,,,,,9.72,0.7,Correctly,,3eaf9b6e22695e0de67bcfa28a64a9d101250cfe11267bc78ffd59e68cd08d70,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7558989053,"07:15 PM, December 07 2025",Delivered,Zomato Delivery,2km,1 x Chicken Handi Biryani [2 Pieces],,,263,0,0,131.5,0,0,131.5,,,,,,5.40,3.5,Correctly,,b9d10f338f819e484de342da9ca38849fa994fa52aff9c47007c6033d38ba02c,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7527359353,"07:44 PM, November 28 2025",Delivered,Zomato Delivery,3km,1 x Chicken Handi Biryani [2 Pieces],,,263,0,0,131.5,0,0,131.5,,,,,,9.58,22.7,Incorrectly,,41c21dd8eedf966d135b4d0f490cb5728e363ce1633f65fe2de603bff6d02d57,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7558414212,"02:17 PM, December 07 2025",Delivered,Zomato Delivery,3km,1 x Chicken Handi Biryani [2 Pieces],,,263,0,0,131.5,0,0,131.5,,,,,,5.28,4.8,Incorrectly,,27cb8e0ef45ae31f37bd813a31f374cfa789d2d9fa08a61d5b95b533fc97d993,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7557197943,"02:36 PM, December 07 2025",Delivered,Zomato Delivery,1km,"1 x Mutton Handi Biryani [2 Pieces], 1 x Chicken Handi Biryani [2 Pieces]",,,601,0,0,300.5,0,0,300.5,,,,,,24.62,17.4,Correctly,,f6b6ae2e15296f5bbe2d150e7d919b2a0bdbaf8cb9dbf6dd7ac54b422ed7ce5f,
22149004,Taste And Toast,Raiganj Locality,Raiganj,7540201998,"10:17 PM, December 01 2025",Delivered,Zomato Delivery,8km,1 x Chicken Handi Biryani [2 Pieces],,,263,0,0,131.5,0,0,131.5,,,,,,6.17,4.9,Correctly,,891b3371b689e0ed97ea19120d5f6aa13161fade9e9163d6ec15e7764f0575f9,
